Date,MaleAdmissions,MaleExits,MaleADP,MaleALOS,FemaleAdmissions,FemaleExits,FemaleADP,FemaleALOS,TotalAdmissions,TotalExits,TotalADP,TotalALOS
2015-01-31,236.0,237,21.20253165,21.20253164556962,45.0,46,27.612903,27.217391304347824,281.0,283,175.290322,22.180212014134277
2015-02-28,178.0,186,16.51075269,16.510752688172044,38.0,48,21.071428,14.3125,216.0,234,147.75,16.05982905982906
2015-03-31,223.0,225,21.23555556,21.235555555555557,54.0,42,24.903225,9.452380952380953,277.0,267,147.967741,19.382022471910112
2015-04-30,223.0,238,19.69327731,19.69327731092437,71.0,67,30.8,11.626865671641792,294.0,305,154.633333,17.921311475409837
2015-05-31,236.0,210,12.51904762,12.519047619047619,61.0,61,36.903225,16.049180327868854,297.0,271,163.709677,13.313653136531366
2015-06-30,181.0,183,17.77595628,17.775956284153004,40.0,44,29.5,27.045454545454547,221.0,227,169.9,19.572687224669604
2015-07-31,187.0,185,26.32972973,26.32972972972973,38.0,42,29.387096,24.261904761904763,225.0,227,161.677419,25.94713656387665
2015-08-31,144.0,137,22.47445255,22.474452554744527,41.0,41,23.48387,23.975609756097562,185.0,178,158.16129,22.820224719101123
2015-09-30,205.0,188,22.7712766,22.77127659574468,52.0,45,29.533333,15.377777777777778,257.0,233,178.666666,21.34334763948498
2015-10-31,211.0,227,21.31718062,21.31718061674009,67.0,76,32.903225,13.75,278.0,303,197.354838,19.419141914191417
2015-11-30,180.0,193,27.2746114,27.27461139896373,43.0,45,23.633333,22.77777777777778,223.0,238,159.333333,26.42436974789916
2015-12-31,161.0,165,27.13333333,27.133333333333333,46.0,45,26.32258,12.155555555555555,207.0,210,150.1,23.923809523809524
2016-01-31,197.0,177,146.967741,22.661016949152543,45.0,48,24.451612,17.166666666666668,242.0,225,171.419354,21.488888888888887
2016-02-29,208.0,185,164.517241,21.4,39.0,31,24.896551,21.193548387096776,247.0,216,189.413793,21.37037037037037
2016-03-31,197.0,220,152.064516,22.62727272727273,41.0,45,26.967741,16.666666666666668,238.0,265,179.032258,21.61509433962264
2016-04-30,198.0,197,141.7,23.746192893401016,51.0,51,26.133333,15.862745098039216,249.0,248,167.833333,22.125
2016-05-31,205.0,181,162.225806,19.370165745856355,46.0,39,29.580645,23.0,251.0,220,191.806451,20.013636363636362
2016-06-30,166.0,179,164.233333,28.910614525139664,28.0,34,26.866666,22.205882352941178,194.0,213,191.1,27.84037558685446
2016-07-31,137.0,176,134.387096,30.96590909090909,31.0,38,20.967741,23.789473684210527,168.0,214,155.354838,29.69158878504673
2016-08-31,148.0,141,124.548387,27.843971631205672,35.0,35,21.48387,21.2,183.0,176,146.032258,26.522727272727273
2016-09-30,200.0,195,128.1,19.374358974358973,56.0,54,20.4,13.75925925925926,256.0,249,148.5,18.156626506024097
2016-10-31,175.0,188,123.903225,20.872340425531913,48.0,46,23.48387,10.891304347826088,223.0,234,147.387096,18.91025641025641
2016-11-30,172.0,162,127.9,21.537037037037038,44.0,40,25.133333,12.75,216.0,202,153.033333,19.797029702970296
2016-12-31,158.0,170,124.677419,23.264705882352942,46.0,47,28.741935,21.085106382978722,204.0,217,153.419354,22.792626728110598
2017-01-31,201.0,185,126.741935,23.681081081081082,45.0,46,25.32258,21.130434782608695,246.0,231,152.064516,23.173160173160174
2017-02-28,184.0,175,140.928571,19.97714285714286,57.0,52,30.214285,15.576923076923077,241.0,227,171.142857,18.969162995594715
2017-03-31,195.0,190,144.838709,19.9,67.0,66,33.387096,13.515151515151516,262.0,256,178.225806,18.25390625
2017-04-30,210.0,199,152.733333,20.77889447236181,50.0,56,32.4,17.910714285714285,260.0,255,185.133333,20.149019607843137
2017-05-31,233.0,231,169.935483,22.92207792207792,76.0,72,30.354838,11.625,309.0,303,200.290322,20.237623762376238
2017-06-30,172.0,160,166.9,29.0125,58.0,55,34.7,21.98181818181818,230.0,215,201.6,27.21395348837209
2017-07-31,142.0,158,168.096774,33.5,38.0,42,29.48387,12.071428571428571,180.0,200,197.580645,29.0
2017-08-31,155.0,158,145.838709,29.803797468354432,33.0,43,21.16129,24.697674418604652,188.0,201,167.0,28.71144278606965
